variable,reference,lat,lon,mat,map,ph_soil,species,family,genus,photopathway,legume,managed,growthform,functionaltype,broadleaf_conifer,evergreen_deciduous,ninorg_form,ndep_kg_ha_yr,duration_yr,load,value_t,value_c,n_t,n_c,sd_t,sd_c,ln_rr,v,w,cluster,w_dash,,,,,,,,,,,,,,,,
Aarea,Chen-2005-Environmental and Experimental Botany,43.63N,116.7E,0.3,340,7.5,Stipa grandis,Poaceae,Stipa,C3,non-legumes,Natural,Herb,Grass,NA,NA,NH4NO3,105,3,315,7.298037,5.386491,3,3,2.37785,2.321656,0.30371,0.09731,10.27634,22,2.569085,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aarea,Cordell-2001-Tree Physiology,NA,NA,16,2500,NA,Metrosideros polymorpha,Myrtaceae,Metrosideros,C3,non-legumes,Natural,Woody,Tree,Broadleaf,Evergreen,Urea,100,14,1400,8.69,8.33,4,4,0.45,0.33,0.04262,0.00105,950.76522,23,475.38261,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aarea,Cordell-2001-Tree Physiology,NA,NA,16,2500,NA,Metrosideros polymorpha,Myrtaceae,Metrosideros,C3,non-legumes,Natural,Woody,Tree,Broadleaf,Evergreen,Urea,100,8,800,7.59,4.54,4,4,1.05,0.58,0.51413,0.0088,113.60747,23,56.803735,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aarea,Del Pozo-2007-Environmental and Experimental Botany,NA,NA,NA,506,7.7,Triticum aestivum,Poaceae,Triticum,C3,non-legumes,Managed,Herb,Grass,NA,NA,Other,70,NA,NA,6.6,11.3,3,3,5.89,10.39,-0.53773,0.54731,1.82711,24,0.609036667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aarea,Del Pozo-2007-Environmental and Experimental Botany,NA,NA,NA,506,7.7,Triticum aestivum,Poaceae,Triticum,C3,non-legumes,Managed,Herb,Grass,NA,NA,Other,70,NA,NA,39.5,28.1,3,3,5.54,13.68,0.34053,0.0856,11.68196,24,3.893986667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aarea,Del Pozo-2007-Environmental and Experimental Botany,NA,NA,NA,506,7.7,Triticum aestivum,Poaceae,Triticum,C3,non-legumes,Managed,Herb,Grass,NA,NA,Other,70,NA,NA,21.6,13.3,3,3,10.22,11.95,0.48493000000000003,0.34376,2.909,24,0.969666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aarea,DesRochers-2006-Forest Ecology and Management,54N,112W,1.6,380,7.8,Populus balsamifera×Populus simonii,Salicaceae,Populus,C3,non-legumes,Managed,Woody,Tree,Broadleaf,Deciduous,NH4NO3,40,1,40,15.54,17.82,3,3,0.76,0.76,-0.1369,0.00141,708.54279,25,177.1356975,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aarea,DesRochers-2006-Forest Ecology and Management,54N,112W,1.6,380,7.8,Populus balsamifera×Populus simonii,Salicaceae,Populus,C3,non-legumes,Managed,Woody,Tree,Broadleaf,Deciduous,NH4NO3,20,1,20,16.89,17.82,3,3,0.76,0.76,-0.0536,0.00129,776.2086,25,194.05215,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aarea,DesRochers-2006-Forest Ecology and Management,54N,112W,1.6,380,7.8,Populus balsamifera×Populus simonii,Salicaceae,Populus,C3,non-legumes,Managed,Woody,Tree,Broadleaf,Deciduous,NH4NO3,40,2,80,17.94,17.67,3,3,0.52,0.52,0.01516,5.7e-4,1760.90752,25,440.22688,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aarea,DesRochers-2006-Forest Ecology and Management,54N,112W,1.6,380,7.8,Populus balsamifera×Populus simonii,Salicaceae,Populus,C3,non-legumes,Managed,Woody,Tree,Broadleaf,Deciduous,NH4NO3,20,2,40,18.01,17.67,3,3,0.52,0.52,0.01906,5.7e-4,1767.66061,25,441.9151525,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
